input,reference,greedy,beam
"cried evan ; "" it be impossible !""","cried evan ; "" it is impossible !""","cried evan ; "" it is impossible !""","cried evan ; "" it is impossible !"""
"for comfort of her child , have she consult only her own wish , she would have keep it ; discretion of elinor prevail .","for the comfort of her children , had she consulted only her own wishes , she would have kept it ; but the discretion of elinor prevailed .","for the comfort of her children , had she consulted only her own wish , she would have kept it ; and the discretion of elinor prevailed .","for the comfort of her children , had she consulted only her own wish , she would have kept it ; and the discretion of elinor prevailed ."
"4 : 8 i will lay me down in peace , sleep : for thou , lord , only makest me dwell in safety .","4 : 8 i will both lay me down in peace , and sleep : for thou , lord , only makest me dwell in safety .","4 : 8 i will lay me down in peace , and sleep : for thou , lord , only makest me to dwell in safety .","4 : 8 i will lay me down in peace , and sleep : for thou , lord , only makest me to dwell in safety ."
"3 : 9 they spake say king nebuchadnezzar , o king , live for ever .","3 : 9 they spake and said to the king nebuchadnezzar , o king , live for ever .","3 : 9 and they spake to say king nebuchadnezzar , o king , live for ever .","3 : 9 and they spake to say king nebuchadnezzar , o king , live for ever ."
"trumpet mouth , old man be stand in his hoisted quarter - boat , his ivory leg plainly reveal stranger captain , who be carelessly recline in his own boat ' s bow .","trumpet to mouth , the old man was standing in his hoisted quarter - boat , his ivory leg plainly revealed to the stranger captain , who was carelessly reclining in his own boat ' s bow .","the trumpet mouth , old man was standing in his hoisted quarter - boat , and his ivory legs plainly revealed and revealed , who was carelessly to recline in his own boat ' s bow .","the trumpet mouth , the old man was standing in his hoisted quarter - boat , and his ivory legs plainly revealed and revealed , who was carelessly to recline in his own boat ' s bow ."
"63 : 2 see thy power thy glory , so a i have see thee in sanctuary .","63 : 2 to see thy power and thy glory , so as i have seen thee in the sanctuary .","63 : 2 see thy power and thy glory , so as i have seen thee in the sanctuary .","63 : 2 see thy power and thy glory , so as i have seen thee in the sanctuary ."
"finish interest of story , friendship between him harvilles seem , if possible , augment by event which close their view of alliance , captain benwick be now live with them entirely .","to finish the interest of the story , the friendship between him and the harvilles seemed , if possible , augmented by the event which closed all their views of alliance , and captain benwick was now living with them entirely .","finishing the interest of the story , and friendship between him a harvilles seemed , if possible , augment by the event which closed their view of alliance , captain benwick was now living with them entirely .","finishing the interest of the story , and friendship between him a harvilles seemed , if possible , augment by the event which closed their view of alliance , captain benwick was now living with them entirely ."
ginger !,ginger !,ginger !,ginger !
""" not walk in rain , i should imagine .""",""" not a walk in the rain , i should imagine .""",""" not walk in the rain , i should imagine .""",""" not walk in this rain , i should imagine ."""
"sir , it do not signify -- it do not signify !","sir , it does not signify -- it does not signify !","sir , it does not signify -- it does not signify !","sir , it does not signify -- it does not signify !"
""" if you really think that ordinary people in ordinary house be anarchist , you must be mad than anarchist yourself .",""" if you really think that ordinary people in ordinary houses are anarchists , you must be madder than an anarchist yourself .",""" if you really think that the ordinary people in the ordinary house are anarchists , you must be mad than the anarchist yourself .",""" if you really think that the ordinary people in the ordinary house are anarchists , you must be mad than an anarchist yourself ."
my name ' s macbeth,my name ' s macbeth,my name ' s macbeth,my name ' s macbeth
"he cry with his hand his nose , "" that will do very well ; how like creation it smell !""","he cried with his hand to his nose , "" that will do very well ; but how like all creation it smells !""","he cried with his hand and his nose , "" that will do very well ; how like creation it smell !""","he cried with his hand and his nose , "" that will do very well ; and how like creation it smell !"""
